MUNICIPALITY_NAME,geometry
TORRE DE' ROVERI,POINT (9.7781567 45.70068)
ZEME,POINT (8.6760828 45.1956596)
GERA LARIO,POINT (9.3868912 46.1561003)
BARNI,POINT (9.2652203 45.9078202)
MOLTRASIO,POINT (9.0949852 45.8740868)
CREMA,POINT (9.6843491 45.3660174)
BUSTO ARSIZIO,POINT (8.8433804 45.6053799)
LEGGIUNO,POINT (8.6045622 45.871849)
CHIGNOLO PO,POINT (9.4922829 45.1435039)
COLLEBEATO,POINT (10.2059922 45.5853834)
LIMBIATE,POINT (9.1200362 45.6043091)
RODANO,POINT (9.3483304 45.4746058)
PISOGNE,POINT (10.1339458 45.7980816)
FORESTO SPARSO,POINT (9.9124283 45.6929703)
ROCCA SUSELLA,POINT (9.0966331 44.9191438)
CERTOSA DI PAVIA,POINT (9.1260801 45.2528217)
MONTAGNA IN VALTELLINA,POINT (9.9249132 46.2198858)
MANERBIO,POINT (10.1418016 45.3520816)
CASSINETTA DI LUGAGNANO,POINT (8.908347 45.4252411)
VALTORTA,POINT (9.5348072 45.9802004)
VIZZOLO PREDABISSI,POINT (9.3479848 45.3586332)
PORTO CERESIO,POINT (8.9072069 45.9098974)
CASARGO,POINT (9.4020586 46.0393101)
SANTA CRISTINA E BISSONE,POINT (9.4212102 45.154432)
ZANDOBBIO,POINT (9.8769767 45.6841563)
BOFFALORA D'ADDA,POINT (9.4877107 45.3593927)
TORRE DI SANTA MARIA,POINT (9.8167065 46.2329926)
CORBETTA,POINT (8.9332568 45.4590432)
ODOLO,POINT (10.3904065 45.6376071)
COCCAGLIO,POINT (9.964779 45.5557165)
TICENGO,POINT (9.8224848 45.383278)
CASTELSEPRIO,POINT (8.8625511 45.7182537)
SEDRIANO,POINT (8.9758123 45.4839796)
SALTRIO,POINT (8.9246195 45.8772115)
ALBOSAGGIA,POINT (9.8630437 46.106246)
ROVELLASCA,POINT (9.046081 45.6687091)
PERO,POINT (9.0769983 45.5107884)
PARONA,POINT (8.7598016 45.2827953)
VILLANUOVA SUL CLISI,POINT (10.465455 45.6093651)
PEZZAZE,POINT (10.2202312 45.7844452)
OLGINATE,POINT (9.4106528 45.7858285)
ROBBIATE,POINT (9.4347962 45.6839501)
BORGORATTO MORMOROLO,POINT (9.2003805 44.9436213)
LANDRIANO,POINT (9.2710877 45.3069822)
CAPRIOLO,POINT (9.9403223 45.637755)
SARNICO,POINT (9.9702834 45.6750797)
ERVE,POINT (9.4542855 45.8250834)
SAN GENESIO ED UNITI,POINT (9.1869546 45.2374516)
LAVENONE,POINT (10.4294037 45.7617793)
BOZZOLO,POINT (10.4872529 45.1038425)
ORINO,POINT (8.7179134 45.8806824)
VILLIMPENTA,POINT (11.0145806 45.1344073)
GOTTOLENGO,POINT (10.2733929 45.3091509)
DUBINO,POINT (9.4459651 46.1669206)
TRESIVIO,POINT (9.9505372 46.2000665)
SPINADESCO,POINT (9.9338007 45.1324332)
PALADINA,POINT (9.6134905 45.7290471)
ALMENNO SAN SALVATORE,POINT (9.5897753 45.7514808)
MONZA,POINT (9.2757063 45.592729)
ZOGNO,POINT (9.6779623 45.7965207)
SANT'ALESSIO CON VIALONE,POINT (9.230015 45.2246508)
BRIOSCO,POINT (9.2492912 45.7146836)
SANTA MARIA HOE',POINT (9.3761302 45.7425106)
LODI VECCHIO,POINT (9.4189649 45.3010752)
DESIO,POINT (9.2048853 45.6162892)
PEGLIO,POINT (9.2773631 46.1796308)
PESCAROLO ED UNITI,POINT (10.1991888 45.1951534)
INZAGO,POINT (9.4787763 45.5404492)
BREMBIO,POINT (9.5641852 45.2123219)
MISINTO,POINT (9.0792193 45.6586858)
PALAZZO PIGNANO,POINT (9.5841041 45.4014133)
VALNEGRA,POINT (9.6846592 45.9587662)
COSTA VALLE IMAGNA,POINT (9.5020976 45.8021051)
SONCINO,POINT (9.8502217 45.4043705)
ROMAGNESE,POINT (9.3236745 44.8367761)
BOSNASCO,POINT (9.3667852 45.0567946)
BERBENNO DI VALTELLINA,POINT (9.7359298 46.1987292)
LEFFE,POINT (9.8821244 45.7900837)
LOSINE,POINT (10.3087768 45.9798759)
